20,bus_0
32,truck_0
37,car_2
64,ambulance_0
94,truck_6
104,car_12
117,car_19
124,car_13
125,bike_13
139,bike_14
159,bike_10
159,car_16
163,bike_15
168,bike_13
201,bike_18
203,truck_7
227,bus_16
227,car_33
232,bike_21
234,car_30
244,car_40
249,car_38
249,car_41
249,bike_28
283,car_31
285,truck_16
302,car_49
319,truck_16
319,car_35
329,car_53
336,car_36
359,truck_26
363,bus_23
394,car_56
405,truck_30
409,bike_48
444,bike_42
444,car_68
444,bike_55
455,car_74
475,bike_59
479,truck_35
509,truck_38
518,bike_61
519,bike_62
534,car_87
538,car_87
539,bike_64
539,car_89
539,truck_43
540,bike_67
554,bike_67
564,bus_40
574,bus_40
589,car_93
20,bus_0
32,truck_0
37,car_2
44,ambulance_0
48,truck_1
49,bus_1
53,bus_1
56,bike_1
64,bike_3
64,car_3
68,bike_8
76,truck_6
89,bike_8
89,truck_4
104,car_12
109,car_13
129,car_15
129,car_14
144,car_19
147,car_21
161,car_1
161,bike_15
164,bike_11
179,truck_9
201,bike_18
202,truck_7
211,car_26
224,bus_14
232,car_38
239,bike_25
254,bike_21
269,bike_29
274,car_35
284,car_31
294,car_35
294,truck_22
298,car_46
318,car_50
329,car_53
338,car_36
346,truck_27
352,car_45
354,truck_28
380,car_49
384,bus_26
405,truck_30
409,bike_48
424,bike_42
424,car_68
427,bus_29
431,truck_34
443,bus_27
444,bike_53
458,truck_35
461,car_67
464,bike_55
479,bike_56
494,bike_59
509,car_81
529,car_83
535,car_87
538,car_89
539,bike_66
551,bike_62
553,car_88
554,bike_64
584,bus_40
584,bike_70
593,bike_60
599,car_93
599,bike_60
20,bus_0
32,truck_0
34,ambulance_0
38,bike_3
48,bus_1
48,truck_1
53,bus_1
54,car_4
54,car_3
68,bike_8
76,truck_6
79,truck_3
79,truck_4
114,bike_9
114,car_14
119,car_19
124,truck_8
129,car_19
144,bike_14
164,bike_10
164,car_16
168,bike_13
200,car_22
204,car_25
209,bus_14
216,truck_12
232,car_38
234,bike_25
249,bus_16
249,bike_21
251,car_41
264,car_40
275,car_35
279,truck_16
284,car_35
284,truck_22
297,car_46
304,car_42
319,car_50
319,car_49
329,car_53
337,car_36
362,bus_23
399,car_56
404,truck_30
411,bus_25
419,bike_51
419,bike_48
434,bike_42
443,bike_53
444,bus_27
458,truck_35
461,car_67
464,bike_55
479,bike_56
499,bike_59
514,car_81
529,car_83
534,car_87
538,car_87
538,car_89
551,bike_62
553,car_88
554,bike_64
554,truck_43
587,bike_73
20,bus_0
32,truck_0
34,ambulance_0
38,bike_3
48,bus_1
48,truck_1
53,bus_1
54,car_3
57,bike_1
74,car_4
74,car_3
76,truck_6
94,bike_8
104,car_12
114,car_13
129,car_14
149,car_16
160,car_1
162,bike_15
164,car_1
164,bike_11
179,truck_9
204,car_22
206,car_25
214,car_26
219,bus_14
232,car_38
234,bike_25
254,bus_16
254,bike_21
269,bike_29
274,car_35
279,truck_16
284,car_35
284,truck_22
297,car_46
318,car_50
319,car_49
329,car_53
337,car_36
346,truck_27
349,truck_28
384,car_56
406,truck_30
409,bike_48
434,bike_42
444,bike_53
444,bus_27
455,car_74
465,car_73
474,bike_56
476,bike_59
489,bike_59
524,truck_38
534,car_87
538,car_87
539,car_89
552,bike_62
552,car_88
554,bike_64
554,truck_43
587,bike_73
599,car_95
599,bike_73
