episode,episode_reward,avg_total_q,avg_total_w,switches
0,-4260.25,4.406666666666666,35.888333333333335,295
1,-3636.100000000001,3.9683333333333333,25.583333333333332,301
2,-5543.849999999992,5.443333333333333,53.855,259
3,-7553.699999999999,7.343333333333334,75.17,276
4,-4120.9000000000015,4.4816666666666665,29.373333333333335,298
5,-2332.900000000002,2.6816666666666666,12.953333333333333,344
6,-2123.4000000000005,2.46,11.29,322
7,-2849.150000000002,3.215,17.351666666666667,390
8,-2492.3500000000017,2.88,13.478333333333333,362
9,-2653.5000000000005,3.025,15.39,390
10,-3144.9499999999994,3.5866666666666664,18.291666666666668,365
11,-2000.6000000000006,2.3233333333333333,10.486666666666666,310
12,-1892.4500000000005,2.21,9.631666666666666,287
13,-2310.1999999999994,2.6616666666666666,12.706666666666667,365
14,-2117.45,2.4833333333333334,10.581666666666667,324
